"X","age","gender","income","region","service","wait_minutes","price_fair","visits","satisfied"
1,65,"F",19655,"west",1,3.2,3,9,"yes"
2,24,"M",38835,NA,3,2.7,5,7,"yes"
3,30,"M",30133,"west",5,4.3,5,7,"yes"
4,33,"F",37032,"south",3,11.7,5,3,"yes"
5,26,"M",39010,"north",2,20.1,1,2,"yes"
6,27,"M",38272,"north",5,18.3,5,5,"yes"
7,47,"M",49075,"north",4,19.9,2,3,"yes"
8,37,"M",34228,"north",1,88.4,2,3,"no"
9,40,"M",48030,"east",3,23.2,5,3,"yes"
10,64,"F",37084,"south",5,31.5,3,5,"yes"
11,42,"F",37489,"west",1,29.9,2,2,"no"
12,71,"M",75592,"south",4,0.7,1,2,"yes"
13,65,"M",28672,"west",4,3.1,4,2,"yes"
14,42,"M",39409,"west",5,5.4,4,2,"yes"
15,61,"F",42327,"north",5,3.1,2,3,"yes"
16,44,"M",53976,"west",2,2.3,3,4,"yes"
17,27,"F",22594,"west",4,3.3,2,4,"yes"
18,34,"F",57091,"east",5,30.9,2,1,"yes"
19,38,"M",30636,"east",3,12.5,4,2,"yes"
20,50,"M",78081,"south",4,0.3,4,7,"yes"
21,48,"F",44121,"west",4,22.1,1,8,"yes"
22,46,"M",46536,"west",2,22.3,5,3,"no"
23,54,"F",50133,"south",1,14.3,4,5,"no"
24,21,"M",35529,"south",3,14.8,4,5,"yes"
25,53,"M",18427,"east",1,2.4,3,2,"yes"
26,40,"F",48811,"south",2,45.2,5,9,"no"
27,47,"M",13438,"east",1,22.5,5,4,"yes"
28,45,"M",NA,"south",4,12.5,2,5,"yes"
29,26,"M",25225,"west",5,27.7,2,5,"yes"
30,35,"M",32523,"east",4,4.6,2,2,"yes"
31,28,"F",42285,"south",5,5.4,3,1,"yes"
32,47,"M",59655,"west",4,6.2,3,4,"yes"
33,39,"F",35009,"south",3,6.6,5,2,"yes"
34,37,"F",36103,"east",1,17.8,1,2,"no"
35,33,"M",60020,"east",2,21.1,1,5,"no"
36,31,"M",41220,"west",5,1.8,4,3,"yes"
37,50,"M",22042,"north",3,0.5,5,4,"yes"
38,25,"F",24326,"west",1,32.1,1,5,"no"
39,36,"F",65541,"south",4,0.4,2,2,"yes"
40,42,"F",54801,"north",2,3.6,2,1,"yes"
41,53,"M",58363,"north",4,2.1,3,2,"yes"
42,30,"F",19417,"south",1,10.2,3,9,"yes"
43,35,"M",16424,"east",1,4.3,5,1,"yes"
44,22,"M",35926,"south",1,2,4,4,"yes"
45,33,"F",20258,"east",2,10.3,3,3,"yes"
46,33,"F",27607,"east",5,13.5,5,6,"yes"
47,54,"F",21578,"south",4,0.5,4,5,"yes"
48,45,"M",36585,"north",5,4.7,5,4,"yes"
49,39,"M",16404,"south",3,0.1,3,6,"yes"
50,49,"F",20160,"west",4,11.1,5,2,"yes"
51,35,"F",53799,"north",3,6.9,2,8,"yes"
52,38,"F",93808,"north",1,16.6,5,6,"yes"
53,42,"F",29528,"west",4,2.8,3,2,"yes"
54,58,"F",50962,"east",5,6.6,2,2,"yes"
