Satisfied	colFaminly	colMention	colBackground	colFDC	colAge	colPath	colPath	colRegister
1	No	S	NTH and CENT AMERICAN	FDC>5	46-59	DNDD	N	Not Registered
1	Yes	S	NTH and CENT AMERICAN	FDC<=5	46-59	DNDD	N	Registered
1	Yes	S	NTH and CENT AMERICAN	FDC<=5	60+	DNDD	N	Registered
1	Yes	F	NTH and CENT AMERICAN	FDC<=2	60+	DCDD	C	Not Registered
1	No	S	NTH and CENT AMERICAN	FDC<=2	60+	DCDD	C	Not Registered
1	Yes	F	NTH and CENT AMERICAN	FDC<=2	60+	DNDD	N	Not Registered
1	Yes	F	NTH and CENT AMERICAN	FDC<=2	60+	DCDD	C	Not Registered
1	No	S	NTH and CENT AMERICAN	FDC<=5	46-59	DNDD	N	Not Registered
0	Yes	S	NTH and CENT AMERICAN	FDC>5	26-35	DNDD	N	Not Registered
1	Yes	F	NTH and CENT AMERICAN	NA	60+	DCDD	C	Not Registered
0	Yes	S	NTH and CENT AMERICAN	FDC<=5	60+	DCDD	C	NA
1	Yes	F	NTH and CENT AMERICAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	S	NTH and CENT AMERICAN	FDC<=2	46-59	DCDD	C	NA
1	Yes	S	NTH and CENT AMERICAN	FDC<=5	60+	DCDD	C	NA
1	Yes	F	NTH and CENT AMERICAN	FDC<=5	26-35	DNDD	N	Not Registered
0	Unknown	S	NTH and CENT AMERICAN	FDC<=2	46-59	DCDD	C	NA
1	Yes	S	NTH and CENT AMERICAN	FDC<=2	26-35	DNDD	N	Not Registered
1	No	S	NTH and CENT AMERICAN	NA	26-35	DNDD	N	Not Registered
1	Yes	F	NTH and CENT AMERICAN	FDC<=2	36-45	DCDD	C	Not Registered
1	No	S	NTH and CENT AMERICAN	FDC<=5	60+	DCDD	C	Not Registered
0	Yes	F	NTH and CENT AMERICAN	FDC<=2	46-59	DCDD	C	Not Registered
1	Unknown	S	NTH and CENT AMERICAN	FDC<=2	46-59	DNDD	N	Not Registered
1	Yes	S	NTH and CENT AMERICAN	FDC<=5	26-35	DCDD	C	Not Registered
0	Yes	S	NTH and CENT AMERICAN	FDC<=5	60+	DCDD	C	Registered
1	Yes	S	NTH and CENT AMERICAN	FDC<=5	46-59	DCDD	C	Not Registered
0	No	S	ARAB	FDC<=5	60+	DCDD	C	Not Registered
0	No	S	ARAB	FDC<=2	36-45	DNDD	N	Not Registered
0	No	S	ARAB	FDC<=5	46-59	DCDD	C	Not Registered
0	Yes	S	ARAB	FDC<=5	36-45	DCDD	C	Not Registered
0	No	F	ARAB	FDC<=5	36-45	DNDD	N	Not Registered
0	Yes	S	ARAB	FDC<=2	60+	DNDD	N	Not Registered
0	No	S	ARAB	FDC<=5	46-59	DNDD	N	Not Registered
0	Yes	S	ARAB	FDC<=5	16-25	DNDD	N	Not Registered
0	Unknown	S	ARAB	FDC<=2	16-25	DCDD	C	Not Registered
0	Yes	S	ARAB	FDC<=2	26-35	DNDD	N	Not Registered
1	Unknown	S	ARAB	FDC<=2	36-45	DNDD	N	Not Registered
0	Unknown	S	ARAB	FDC>5	36-45	DCDD	C	Not Registered
0	Unknown	S	ARAB	FDC<=5	16-25	DNDD	N	Not Registered
0	Unknown	S	ARAB	NA	16-25	DNDD	N	Not Registered
0	No	S	ARAB	FDC<=5	60+	DCDD	C	Not Registered
0	Yes	S	ARAB	FDC<=5	26-35	DNDD	N	Registered
0	Unknown	S	ARAB	FDC>10	46-59	DNDD	N	Not Registered
0	No	S	ARAB	FDC<=5	60+	DNDD	N	Not Registered
0	Unknown	NA	ARAB	FDC>10	26-35	DNDD	N	Not Registered
0	Yes	S	ARAB	FDC>5	46-59	DCDD	C	Not Registered
0	Unknown	S	ARAB	FDC<=5	60+	DCDD	C	Not Registered
0	Yes	S	ARAB	FDC<=2	26-35	DCDD	C	Not Registered
0	No	S	ARAB	FDC<=2	36-45	DCDD	C	Not Registered
0	Unknown	S	ARAB	FDC<=2	46-59	DNDD	N	Not Registered
0	No	S	STH AMERICAN	FDC>5	46-59	DNDD	N	Not Registered
1	Yes	S	STH AMERICAN	FDC>5	46-59	DCDD	C	Not Registered
1	No	S	STH AMERICAN	FDC<=5	60+	DNDD	N	Registered
1	Yes	F	STH AMERICAN	FDC<=2	60+	DCDD	C	Not Registered
1	No	S	STH AMERICAN	NA	60+	DNDD	N	Not Registered
0	No	S	STH AMERICAN	FDC<=5	60+	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	S	AUSTRALIAN	NA	46-59	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Registered
0	Yes	S	AUSTRALIAN	FDC>5	46-59	DNDD	N	Not Registered
0	No	S	AUSTRALIAN	FDC>5	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	NA
0	Yes	F	AUSTRALIAN	NA	26-35	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	FDC>5	60+	DNDD	N	Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
1	Yes	F	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
1	No	F	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
1	Yes	S	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
1	Yes	S	AUSTRALIAN	FDC<=5	60+	DNDD	N	Not Registered
0	Unknown	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=5	36-45	DCDD	C	Registered
1	No	F	AUSTRALIAN	FDC<=2	60+	DNDD	N	Not Registered
0	No	F	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	36-45	DNDD	N	Registered
0	Unknown	S	AUSTRALIAN	FDC<=5	16-25	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	<16	DNDD	N	NA
1	Yes	S	AUSTRALIAN	FDC<=2	46-59	DNDD	N	Not Registered
0	Unknown	S	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
1	Yes	F	AUSTRALIAN	FDC<=2	60+	DCDD	C	Registered
1	Yes	F	AUSTRALIAN	FDC>5	<16	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=2	36-45	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=5	60+	DCDD	C	Registered
1	Yes	S	AUSTRALIAN	FDC<=5	46-59	DCDD	C	Not Registered
1	No	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
0	No	S	AUSTRALIAN	FDC>10	46-59	DCDD	C	Not Registered
0	No	S	AUSTRALIAN	FDC>5	<16	DNDD	N	NA
0	Unknown	S	AUSTRALIAN	FDC<=5	46-59	DNDD	N	Not Registered
0	Yes	S	AUSTRALIAN	FDC<=2	26-35	DCDD	C	NA
1	No	S	AUSTRALIAN	FDC<=2	60+	DNDD	N	Registered
1	Unknown	F	AUSTRALIAN	NA	60+	DCDD	C	Not Registered
